band1, band2, band3, band4, isAlgalBloom, lat, long, prob isWater
2637,11220,8816,6787,0,41.6795211131226,-83.4419613238202,0.0
2637,11220,8816,6787,0,41.6795211131226,-83.42623864225465,0.0
2637,11220,8816,6787,0,41.6795211131226,-83.41051596068908,0.0
2413,11906,9056,6476,0,41.6795211131226,-83.39479327912355,0.0
2413,11906,9056,6476,0,41.6795211131226,-83.37907059755798,0.0
1875,12236,7509,4793,0,41.6795211131226,-83.36334791599243,0.01
1875,12236,7509,4793,0,41.6795211131226,-83.34762523442689,0.01
1670,7753,2397,1521,0,41.6795211131226,-83.33190255286132,0.7233333333333334
2363,11410,7767,65528,0,41.6795211131226,-83.31617987129579,0.06
1693,6801,2188,65528,0,41.6795211131226,-83.30045718973022,0.8983333333333334
1693,6801,2188,65528,0,41.6795211131226,-83.28473450816468,0.8983333333333334
1693,6801,2188,65528,0,41.6795211131226,-83.26901182659913,0.8983333333333334
2907,12055,9276,65528,0,41.66379843155705,-83.4419613238202,0.04
2779,11586,9393,65528,0,41.66379843155705,-83.42623864225465,0.04
2779,11586,9393,65528,0,41.66379843155705,-83.41051596068908,0.04
2337,11742,9305,65528,0,41.66379843155705,-83.39479327912355,0.04
2468,11135,9314,65528,0,41.66379843155705,-83.37907059755798,0.05
1912,11852,8639,65528,0,41.66379843155705,-83.36334791599243,0.04
2387,11573,9080,7771,0,41.66379843155705,-83.34762523442689,0.0
1912,11852,8639,65528,0,41.66379843155705,-83.33190255286132,0.04
1716,7214,3713,65528,0,41.66379843155705,-83.31617987129579,0.9159999999999999
2297,11188,7444,6671,0,41.66379843155705,-83.30045718973022,0.03
1743,8384,4531,2757,0,41.66379843155705,-83.28473450816468,0.664
1743,8384,4531,2757,0,41.66379843155705,-83.26901182659913,0.664
3797,12376,10845,9266,0,41.64807574999149,-83.4419613238202,0.0
2779,11586,9393,65528,0,41.64807574999149,-83.42623864225465,0.04
2779,11586,9393,65528,0,41.64807574999149,-83.41051596068908,0.04
2337,11742,9305,65528,0,41.64807574999149,-83.39479327912355,0.04
2337,11742,9305,65528,0,41.64807574999149,-83.37907059755798,0.04
2547,11465,9038,65528,0,41.64807574999149,-83.36334791599243,0.08
1912,11852,8639,65528,0,41.64807574999149,-83.34762523442689,0.04
1716,7214,3713,65528,0,41.64807574999149,-83.33190255286132,0.9159999999999999
1716,7214,3713,65528,0,41.64807574999149,-83.31617987129579,0.9159999999999999
1716,7214,3713,65528,0,41.64807574999149,-83.30045718973022,0.9159999999999999
1200,1651,583,65528,0,41.64807574999149,-83.28473450816468,1.0
1761,12276,7033,65528,0,41.64807574999149,-83.26901182659913,0.04
2463,11047,8395,65528,0,41.63235306842594,-83.4419613238202,0.03
2716,11496,8851,65528,0,41.63235306842594,-83.42623864225465,0.04
2716,11496,8851,65528,0,41.63235306842594,-83.41051596068908,0.04
2876,11412,9402,65528,0,41.63235306842594,-83.39479327912355,0.04
2876,11412,9402,65528,0,41.63235306842594,-83.37907059755798,0.04
2876,11412,9402,65528,0,41.63235306842594,-83.36334791599243,0.04
2355,12561,9496,65528,0,41.63235306842594,-83.34762523442689,0.04
2355,12561,9496,65528,0,41.63235306842594,-83.33190255286132,0.04
2363,11946,9134,7335,0,41.63235306842594,-83.31617987129579,0.0
2363,11946,9134,7335,0,41.63235306842594,-83.30045718973022,0.0
1907,11693,7365,4457,0,41.63235306842594,-83.28473450816468,0.06
1907,11693,7365,4457,0,41.63235306842594,-83.26901182659913,0.06
5566,14283,10330,9723,0,41.61663038686039,-83.4419613238202,0.0
3109,12734,9680,8110,0,41.61663038686039,-83.42623864225465,0.0
3109,12734,9680,8110,0,41.61663038686039,-83.41051596068908,0.0
2551,12014,9515,7949,0,41.61663038686039,-83.39479327912355,0.0
2551,12014,9515,7949,0,41.61663038686039,-83.37907059755798,0.0
2551,12014,9515,7949,0,41.61663038686039,-83.36334791599243,0.0
2522,11553,9497,8134,0,41.61663038686039,-83.34762523442689,0.0
2636,11740,9627,8426,0,41.61663038686039,-83.33190255286132,0.0
2498,12161,9534,7903,0,41.61663038686039,-83.31617987129579,0.0
2498,12161,9534,7903,0,41.61663038686039,-83.30045718973022,0.0
2369,12087,9595,7897,0,41.61663038686039,-83.28473450816468,0.0
2369,12087,9595,7897,0,41.61663038686039,-83.26901182659913,0.0
5918,14345,11113,10047,0,41.60090770529484,-83.4419613238202,0.0
4622,14176,10310,9161,0,41.60090770529484,-83.42623864225465,0.0
4622,14176,10310,9161,0,41.60090770529484,-83.41051596068908,0.0
4622,14176,10310,9161,0,41.60090770529484,-83.39479327912355,0.0
2547,12107,9455,7972,0,41.60090770529484,-83.37907059755798,0.0
2547,12107,9455,7972,0,41.60090770529484,-83.36334791599243,0.0
2692,12017,9920,8561,0,41.60090770529484,-83.34762523442689,0.0
2692,12017,9920,8561,0,41.60090770529484,-83.33190255286132,0.0
2368,12152,9582,7932,0,41.60090770529484,-83.31617987129579,0.0
2368,12152,9582,7932,0,41.60090770529484,-83.30045718973022,0.0
2419,11723,9469,7845,0,41.60090770529484,-83.28473450816468,0.0
2419,11723,9469,7845,0,41.60090770529484,-83.26901182659913,0.0
4885,12805,10952,10206,0,41.58518502372929,-83.4419613238202,0.0
4059,12946,10802,9556,0,41.58518502372929,-83.42623864225465,0.0
4059,12946,10802,9556,0,41.58518502372929,-83.41051596068908,0.0
4059,12946,10802,9556,0,41.58518502372929,-83.39479327912355,0.0
2624,12206,9835,65528,0,41.58518502372929,-83.37907059755798,0.05
2624,12206,9835,65528,0,41.58518502372929,-83.36334791599243,0.05
2634,12136,9936,65528,0,41.58518502372929,-83.34762523442689,0.04
2634,12136,9936,65528,0,41.58518502372929,-83.33190255286132,0.04
2347,12068,9495,65528,0,41.58518502372929,-83.31617987129579,0.04
2347,12068,9495,65528,0,41.58518502372929,-83.30045718973022,0.04
2347,12068,9495,65528,0,41.58518502372929,-83.28473450816468,0.04
2441,11661,9240,65528,0,41.58518502372929,-83.26901182659913,0.04
4418,12232,9157,65528,0,41.56946234216373,-83.4419613238202,0.0
2972,11951,9722,65528,0,41.56946234216373,-83.42623864225465,0.04
2705,11765,9592,7787,0,41.56946234216373,-83.41051596068908,0.0
2321,11916,9541,7465,0,41.56946234216373,-83.39479327912355,0.0
2680,12224,9897,65528,0,41.56946234216373,-83.37907059755798,0.05
2222,12649,9579,7360,0,41.56946234216373,-83.36334791599243,0.0
2634,12136,9936,65528,0,41.56946234216373,-83.34762523442689,0.04
2634,12136,9936,65528,0,41.56946234216373,-83.33190255286132,0.04
2347,12068,9495,65528,0,41.56946234216373,-83.31617987129579,0.04
2347,12068,9495,65528,0,41.56946234216373,-83.30045718973022,0.04
2347,12068,9495,65528,0,41.56946234216373,-83.28473450816468,0.04
2441,11661,9240,65528,0,41.56946234216373,-83.26901182659913,0.04
1373,3842,852,65528,0,41.68252467986524,-83.44293628004135,0.9616666666666666
1373,3842,852,65528,0,41.68252467986524,-83.42887448486073,0.9616666666666666
2112,12395,7239,65528,0,41.68252467986524,-83.4148126896801,0.04
1197,1868,1358,65528,0,41.68252467986524,-83.40075089449947,1.0
1197,1868,1358,65528,0,41.68252467986524,-83.38668909931884,1.0
1295,5146,2391,65528,0,41.68252467986524,-83.3726273041382,1.0
2240,11906,8759,7024,0,41.68252467986524,-83.35856550895758,0.0
2039,12064,8020,65528,0,41.68252467986524,-83.34450371377694,0.06
1812,8542,2974,65528,0,41.68252467986524,-83.33044191859632,0.8540000000000001
2066,10470,4907,4925,0,41.68252467986524,-83.31638012341568,0.48
1812,8542,2974,65528,0,41.68252467986524,-83.30231832823506,0.8540000000000001
1328,3230,679,517,0,41.68252467986524,-83.28825653305442,0.9966666666666667
1076,896,354,65528,0,41.68252467986524,-83.2741947378738,0.98
1373,3842,852,65528,0,41.66846288468461,-83.44293628004135,0.9616666666666666
1373,3842,852,65528,0,41.66846288468461,-83.42887448486073,0.9616666666666666
1373,3842,852,65528,0,41.66846288468461,-83.4148126896801,0.9616666666666666
2806,10308,8896,65528,0,41.66846288468461,-83.40075089449947,0.17
2476,11098,9334,7852,0,41.66846288468461,-83.38668909931884,0.0
2844,11653,9309,65528,0,41.66846288468461,-83.3726273041382,0.04
1295,5146,2391,65528,0,41.66846288468461,-83.35856550895758,1.0
1295,5146,2391,65528,0,41.66846288468461,-83.34450371377694,1.0
2270,10782,7705,65528,0,41.66846288468461,-83.33044191859632,0.15
1169,1247,414,65528,0,41.66846288468461,-83.31638012341568,1.0
2270,10782,7705,65528,0,41.66846288468461,-83.30231832823506,0.15
1076,896,354,65528,0,41.66846288468461,-83.28825653305442,0.98
1505,5417,1861,65528,0,41.66846288468461,-83.2741947378738,0.9649999999999999
1373,3842,852,65528,0,41.65440108950398,-83.44293628004135,0.9616666666666666
2649,11953,8976,65528,0,41.65440108950398,-83.42887448486073,0.07
1373,3842,852,65528,0,41.65440108950398,-83.4148126896801,0.9616666666666666
2806,10308,8896,65528,0,41.65440108950398,-83.40075089449947,0.17
2787,10792,8371,7673,0,41.65440108950398,-83.38668909931884,0.13
2732,11289,8961,8423,0,41.65440108950398,-83.3726273041382,0.01
2618,11576,9089,7714,0,41.65440108950398,-83.35856550895758,0.0
2618,11576,9089,7714,0,41.65440108950398,-83.34450371377694,0.0
2104,11829,7585,6128,0,41.65440108950398,-83.33044191859632,0.01
2104,11829,7585,6128,0,41.65440108950398,-83.31638012341568,0.01
2104,11829,7585,6128,0,41.65440108950398,-83.30231832823506,0.01
1677,8925,3569,2833,0,41.65440108950398,-83.28825653305442,0.6375
1677,8925,3569,2833,0,41.65440108950398,-83.2741947378738,0.6375
3218,12095,9741,8504,0,41.64033929432335,-83.44293628004135,0.0
3218,12095,9741,8504,0,41.64033929432335,-83.42887448486073,0.0
3218,12095,9741,8504,0,41.64033929432335,-83.4148126896801,0.0
2732,11289,8961,8423,0,41.64033929432335,-83.40075089449947,0.01
2732,11289,8961,8423,0,41.64033929432335,-83.38668909931884,0.01
2732,11289,8961,8423,0,41.64033929432335,-83.3726273041382,0.01
2367,12531,9592,7078,0,41.64033929432335,-83.35856550895758,0.0
2367,12531,9592,7078,0,41.64033929432335,-83.34450371377694,0.0
2151,12630,9260,6459,0,41.64033929432335,-83.33044191859632,0.03
2151,12630,9260,6459,0,41.64033929432335,-83.31638012341568,0.03
2151,12630,9260,6459,0,41.64033929432335,-83.30231832823506,0.03
1729,11853,7216,4414,0,41.64033929432335,-83.28825653305442,0.06
1729,11853,7216,4414,0,41.64033929432335,-83.2741947378738,0.06
3927,12415,9725,8765,0,41.62627749914272,-83.44293628004135,0.0
3927,12415,9725,8765,0,41.62627749914272,-83.42887448486073,0.0
3927,12415,9725,8765,0,41.62627749914272,-83.4148126896801,0.0
2654,12194,9253,7227,0,41.62627749914272,-83.40075089449947,0.0
2654,12194,9253,7227,0,41.62627749914272,-83.38668909931884,0.0
2654,12194,9253,7227,0,41.62627749914272,-83.3726273041382,0.0
2367,12531,9592,7078,0,41.62627749914272,-83.35856550895758,0.0
2574,11747,9553,8166,0,41.62627749914272,-83.34450371377694,0.0
2574,11747,9553,8166,0,41.62627749914272,-83.33044191859632,0.0
2492,11579,9120,7409,0,41.62627749914272,-83.31638012341568,0.0
2492,11579,9120,7409,0,41.62627749914272,-83.30231832823506,0.0
2191,11785,7703,5034,0,41.62627749914272,-83.28825653305442,0.01
2191,11785,7703,5034,0,41.62627749914272,-83.2741947378738,0.01
3317,11803,10252,8909,0,41.612215703962086,-83.44293628004135,0.02
3317,11803,10252,8909,0,41.612215703962086,-83.42887448486073,0.02
3406,13001,9818,8192,0,41.612215703962086,-83.40075089449947,0.0
3406,13001,9818,8192,0,41.612215703962086,-83.38668909931884,0.0
3406,13001,9818,8192,0,41.612215703962086,-83.3726273041382,0.0
2574,11747,9553,8166,0,41.612215703962086,-83.35856550895758,0.0
2574,11747,9553,8166,0,41.612215703962086,-83.34450371377694,0.0
2576,11729,9522,65528,0,41.612215703962086,-83.33044191859632,0.04
2589,11915,9655,65528,0,41.612215703962086,-83.31638012341568,0.04
2408,11366,8897,65528,0,41.612215703962086,-83.30231832823506,0.08
2629,11952,9219,65528,0,41.612215703962086,-83.28825653305442,0.04
2629,11952,9219,65528,0,41.612215703962086,-83.2741947378738,0.04
2771,12306,8727,65528,0,41.598153908781455,-83.44293628004135,0.05
2505,11886,9549,65528,0,41.598153908781455,-83.42887448486073,0.04
3796,12527,10616,65528,0,41.598153908781455,-83.4148126896801,0.01
3796,12527,10616,65528,0,41.598153908781455,-83.40075089449947,0.01
2978,12502,9736,65528,0,41.598153908781455,-83.38668909931884,0.05
2711,12030,9376,65528,0,41.598153908781455,-83.3726273041382,0.04
2576,11729,9522,65528,0,41.598153908781455,-83.35856550895758,0.04
2758,11940,9719,8441,0,41.598153908781455,-83.34450371377694,0.01
2758,11940,9719,8441,0,41.598153908781455,-83.33044191859632,0.01
2563,12024,9503,8379,0,41.598153908781455,-83.31638012341568,0.0
3144,11945,9496,65528,0,41.598153908781455,-83.30231832823506,0.04
2408,11366,8897,65528,0,41.598153908781455,-83.28825653305442,0.08
3076,12116,9698,8731,0,41.598153908781455,-83.2741947378738,0.0
2771,12306,8727,65528,0,41.584092113600825,-83.44293628004135,0.05
3796,12527,10616,65528,0,41.584092113600825,-83.42887448486073,0.01
3796,12527,10616,65528,0,41.584092113600825,-83.4148126896801,0.01
2978,12502,9736,65528,0,41.584092113600825,-83.40075089449947,0.05
2978,12502,9736,65528,0,41.584092113600825,-83.38668909931884,0.05
2911,12176,9778,8650,0,41.584092113600825,-83.3726273041382,0.0
2576,11729,9522,65528,0,41.584092113600825,-83.35856550895758,0.04
2576,11729,9522,65528,0,41.584092113600825,-83.34450371377694,0.04
2576,11729,9522,65528,0,41.584092113600825,-83.33044191859632,0.04
3144,11945,9496,65528,0,41.584092113600825,-83.31638012341568,0.04
2408,11366,8897,65528,0,41.584092113600825,-83.30231832823506,0.08
2614,11658,9569,65528,0,41.584092113600825,-83.28825653305442,0.04
1992,11674,8338,65528,0,41.584092113600825,-83.2741947378738,0.03
2475,11612,9432,65528,0,41.570030318420194,-83.44293628004135,0.04
3796,12527,10616,65528,0,41.570030318420194,-83.42887448486073,0.01
2333,11466,9305,65528,0,41.570030318420194,-83.4148126896801,0.05
2328,12163,9535,7548,0,41.570030318420194,-83.40075089449947,0.0
2384,12198,9722,65528,0,41.570030318420194,-83.38668909931884,0.05
2978,12502,9736,65528,0,41.570030318420194,-83.3726273041382,0.05
2384,12198,9722,65528,0,41.570030318420194,-83.35856550895758,0.05
2576,11729,9522,65528,0,41.570030318420194,-83.34450371377694,0.04
2445,11866,9549,65528,0,41.570030318420194,-83.33044191859632,0.04
2614,11658,9569,65528,0,41.570030318420194,-83.31638012341568,0.04
2408,11366,8897,65528,0,41.570030318420194,-83.30231832823506,0.08
2614,11658,9569,65528,0,41.570030318420194,-83.28825653305442,0.04
1992,11674,8338,65528,0,41.570030318420194,-83.2741947378738,0.03
4013,13544,10709,8911,0,41.67541102708652,-83.4519719946652,0.0
3230,13575,10096,8151,0,41.67541102708652,-83.43555890164325,0.0
2206,12207,9550,7581,0,41.67541102708652,-83.41914580862131,0.0
2018,11489,9096,65528,0,41.67541102708652,-83.40273271559937,0.1
2215,11055,9370,65528,0,41.67541102708652,-83.38631962257743,0.08
1894,11858,9442,65528,0,41.67541102708652,-83.3699065295555,0.06
1835,11573,9285,65528,0,41.67541102708652,-83.35349343653354,0.07
1570,12498,8334,65528,0,41.67541102708652,-83.3370803435116,0.04
1788,10681,5683,65528,0,41.67541102708652,-83.32066725048966,0.3
2018,10996,7445,65528,0,41.67541102708652,-83.30425415746772,0.07
2018,10996,7445,65528,0,41.67541102708652,-83.28784106444579,0.07
1367,6921,2036,65528,0,41.67541102708652,-83.27142797142383,0.7933333333333334
2221,12363,9475,65528,0,41.65899793406457,-83.4519719946652,0.05
2028,11394,9057,65528,0,41.65899793406457,-83.43555890164325,0.09
2004,11090,8987,65528,0,41.65899793406457,-83.41914580862131,0.1
1973,10934,9023,65528,0,41.65899793406457,-83.40273271559937,0.1
2182,10652,9451,65528,0,41.65899793406457,-83.38631962257743,0.18
2255,9971,8745,65528,0,41.65899793406457,-83.3699065295555,0.22
2176,10106,8551,6728,0,41.65899793406457,-83.35349343653354,0.27
2176,10106,8551,6728,0,41.65899793406457,-83.3370803435116,0.27
2000,10733,8562,6921,0,41.65899793406457,-83.32066725048966,0.12
1768,10911,8136,5112,0,41.65899793406457,-83.30425415746772,0.1
1694,8844,7535,4081,0,41.65899793406457,-83.28784106444579,0.42
1560,8184,6089,4160,0,41.65899793406457,-83.27142797142383,0.4
2311,10994,8643,7275,0,41.642584841042634,-83.4519719946652,0.0
2225,11359,9128,7607,0,41.642584841042634,-83.43555890164325,0.0
2052,11620,9468,7966,0,41.642584841042634,-83.41914580862131,0.0
2105,11031,9160,7716,0,41.642584841042634,-83.40273271559937,0.0
2264,10524,9165,8651,0,41.642584841042634,-83.38631962257743,0.15
2264,10524,9165,8651,0,41.642584841042634,-83.3699065295555,0.15
2316,11045,9208,8379,0,41.642584841042634,-83.35349343653354,0.0
2063,11511,9081,8001,0,41.642584841042634,-83.3370803435116,0.0
1983,12119,9354,7111,0,41.642584841042634,-83.32066725048966,0.0
1950,12136,9791,7833,0,41.642584841042634,-83.30425415746772,0.0
1805,11660,9224,7081,0,41.642584841042634,-83.28784106444579,0.0
1601,12071,8385,5469,0,41.642584841042634,-83.27142797142383,0.03
1931,12347,9631,7561,0,41.626171748020695,-83.4519719946652,0.0
2058,12107,9658,7910,0,41.626171748020695,-83.43555890164325,0.0
2058,12107,9658,7910,0,41.626171748020695,-83.41914580862131,0.0
1951,11784,9375,7526,0,41.626171748020695,-83.40273271559937,0.0
1970,11772,9278,7563,0,41.626171748020695,-83.38631962257743,0.0
2115,12095,9547,65528,0,41.626171748020695,-83.3699065295555,0.05
2191,11832,9622,65528,0,41.626171748020695,-83.35349343653354,0.05
2379,11210,9605,65528,0,41.626171748020695,-83.3370803435116,0.05
2157,11877,9717,65528,0,41.626171748020695,-83.32066725048966,0.05
2169,11990,9395,65528,0,41.626171748020695,-83.30425415746772,0.05
1943,11708,8839,65528,0,41.626171748020695,-83.28784106444579,0.04
1686,11368,8040,65528,0,41.626171748020695,-83.27142797142383,0.06
2683,11637,9329,65528,0,41.60975865499876,-83.4519719946652,0.04
2476,11679,9181,65528,0,41.60975865499876,-83.43555890164325,0.04
2131,11551,9602,7682,0,41.60975865499876,-83.41914580862131,0.0
2094,12018,10192,8433,0,41.60975865499876,-83.40273271559937,0.0
2146,11964,9719,8488,0,41.60975865499876,-83.38631962257743,0.0
2129,11495,9632,7591,0,41.60975865499876,-83.3699065295555,0.0
2207,11794,9687,7845,0,41.60975865499876,-83.35349343653354,0.0
2281,11819,9773,8172,0,41.60975865499876,-83.3370803435116,0.0
2692,11682,9831,9055,0,41.60975865499876,-83.32066725048966,0.0
2241,12608,9889,8272,0,41.60975865499876,-83.30425415746772,0.0
2147,12516,9668,8062,0,41.60975865499876,-83.28784106444579,0.0
2340,11649,9636,8546,0,41.60975865499876,-83.27142797142383,0.0
4754,13376,9075,7825,0,41.59334556197681,-83.4519719946652,0.0
2505,11550,9438,7887,0,41.59334556197681,-83.43555890164325,0.0
2344,11333,9529,8097,0,41.59334556197681,-83.41914580862131,0.0
2151,12710,9635,65528,0,41.59334556197681,-83.40273271559937,0.05
1934,12433,9466,65528,0,41.59334556197681,-83.38631962257743,0.06
2030,12619,9850,7801,0,41.59334556197681,-83.3699065295555,0.0
2030,12619,9850,7801,0,41.59334556197681,-83.35349343653354,0.0
2604,11701,9731,8653,0,41.59334556197681,-83.3370803435116,0.0
2541,12142,10078,8115,0,41.59334556197681,-83.32066725048966,0.0
2302,12530,10196,65528,0,41.59334556197681,-83.30425415746772,0.04
2238,11837,9864,65528,0,41.59334556197681,-83.28784106444579,0.05
2194,11323,9327,65528,0,41.59334556197681,-83.27142797142383,0.07
2669,12620,9914,65528,0,41.576932468954865,-83.4519719946652,0.07
2442,11900,9715,65528,0,41.576932468954865,-83.43555890164325,0.04
2065,12005,9926,65528,0,41.576932468954865,-83.41914580862131,0.05
2065,12005,9926,65528,0,41.576932468954865,-83.40273271559937,0.05
2234,12186,9962,65528,0,41.576932468954865,-83.38631962257743,0.05
2443,11857,10062,65528,0,41.576932468954865,-83.3699065295555,0.04
2346,12045,10101,65528,0,41.576932468954865,-83.35349343653354,0.04
2349,12038,9952,65528,0,41.576932468954865,-83.3370803435116,0.04
2147,11699,9513,65528,0,41.576932468954865,-83.32066725048966,0.05
2232,10964,9730,65528,0,41.576932468954865,-83.30425415746772,0.08
1989,11671,9645,65528,0,41.576932468954865,-83.28784106444579,0.04
2057,11349,9255,65528,0,41.576932468954865,-83.27142797142383,0.06
4923,12518,8970,6742,0,41.67756968716058,-83.45431782232211,0.0
4251,12538,9297,65528,0,41.67756968716058,-83.43828361765354,0.0
4626,12773,9563,65528,0,41.67756968716058,-83.42224941298497,0.0
4626,12773,9563,65528,0,41.67756968716058,-83.40621520831641,0.0
6368,13953,10502,65528,0,41.67756968716058,-83.39018100364784,0.0
6368,13953,10502,65528,0,41.67756968716058,-83.37414679897927,0.0
6588,14141,10202,7514,0,41.67756968716058,-83.3581125943107,0.0
7008,14425,10643,65528,0,41.67756968716058,-83.34207838964213,0.0
5522,11112,7255,65528,0,41.67756968716058,-83.32604418497357,0.02
5522,11112,7255,65528,0,41.67756968716058,-83.310009980305,0.02
4946,9774,7234,65528,0,41.67756968716058,-83.29397577563643,0.2
4576,8851,5939,65528,0,41.67756968716058,-83.27794157096785,0.33
3853,7504,5288,65528,0,41.67756968716058,-83.26190736629928,0.8
4309,12022,8951,6541,0,41.661535482492006,-83.45431782232211,0.0
4270,12597,9219,65528,0,41.661535482492006,-83.43828361765354,0.01
5120,12963,9662,65528,0,41.661535482492006,-83.42224941298497,0.0
5110,13095,9719,7379,0,41.661535482492006,-83.40621520831641,0.0
6368,13953,10502,65528,0,41.661535482492006,-83.39018100364784,0.0
6368,13953,10502,65528,0,41.661535482492006,-83.37414679897927,0.0
6619,14129,10222,65528,0,41.661535482492006,-83.3581125943107,0.0
7037,14770,10391,65528,0,41.661535482492006,-83.34207838964213,0.0
5842,12726,9000,65528,0,41.661535482492006,-83.32604418497357,0.02
5842,12726,9000,65528,0,41.661535482492006,-83.310009980305,0.02
4683,10380,6952,65528,0,41.661535482492006,-83.29397577563643,0.11
4209,10165,6703,4481,0,41.661535482492006,-83.27794157096785,0.43
3848,7950,5361,4033,0,41.661535482492006,-83.26190736629928,0.51
4888,12812,9572,65528,0,41.64550127782344,-83.45431782232211,0.0
4914,12965,9498,65528,0,41.64550127782344,-83.43828361765354,0.0
4270,12597,9219,65528,0,41.64550127782344,-83.42224941298497,0.01
6503,14920,11092,65528,0,41.64550127782344,-83.40621520831641,0.0
6503,14920,11092,65528,0,41.64550127782344,-83.39018100364784,0.0
7307,15611,11194,65528,0,41.64550127782344,-83.37414679897927,0.0
7964,16672,11985,7648,0,41.64550127782344,-83.3581125943107,0.0
7615,15831,11004,7308,0,41.64550127782344,-83.34207838964213,0.0
7615,15831,11004,7308,0,41.64550127782344,-83.32604418497357,0.0
5933,13212,8829,6074,0,41.64550127782344,-83.310009980305,0.0
6162,14106,9661,6495,0,41.64550127782344,-83.29397577563643,0.0
