Band1, Band2, Band3, Band4, isWater, lat, long
1115,3200,1537,65528,0,41.7082372131304,-83.35349343653354
1194,11275,4461,3428,0,41.7082372131304,-83.3370803435116
1243,12272,8619,65528,0,41.691824120108464,-83.35349343653354
1165,8371,4846,65528,0,41.691824120108464,-83.3370803435116
4153,16300,12820,65528,0,42.15139072472283,-83.56686364581878
3211,14896,10826,65528,0,42.15139072472283,-83.55045055279685
3211,14896,10826,65528,0,42.15139072472283,-83.53403745977491
1835,13673,10956,65528,0,42.15139072472283,-83.51762436675297
2222,13794,11084,65528,0,42.15139072472283,-83.50121127373103
1450,14329,10585,6346,0,42.15139072472283,-83.48479818070908
1756,14028,10259,5931,0,42.15139072472283,-83.46838508768714
1684,13877,9817,5869,0,42.15139072472283,-83.4519719946652
2156,13369,9960,5946,0,42.15139072472283,-83.43555890164325
1718,13517,9986,5804,0,42.15139072472283,-83.41914580862131
1513,13694,10007,5958,0,42.15139072472283,-83.40273271559937
1598,13859,10203,6452,0,42.15139072472283,-83.38631962257743
1619,13652,9958,6326,0,42.15139072472283,-83.3699065295555
1564,13066,9629,6323,0,42.15139072472283,-83.35349343653354
1769,12801,9365,6110,0,42.15139072472283,-83.3370803435116
1963,13339,10482,6832,0,42.13497763170089,-83.56686364581878
1822,12967,9970,6666,0,42.13497763170089,-83.55045055279685
1634,13162,9893,5984,0,42.13497763170089,-83.53403745977491
1538,14018,10182,6388,0,42.13497763170089,-83.51762436675297
1521,13869,10166,6156,0,42.13497763170089,-83.50121127373103
1532,14197,10116,5917,0,42.13497763170089,-83.48479818070908
1832,13816,10220,65528,0,42.13497763170089,-83.46838508768714
2016,14017,10220,65528,0,42.13497763170089,-83.4519719946652
1760,13698,10250,7098,0,42.13497763170089,-83.43555890164325
1929,13413,10427,7235,0,42.13497763170089,-83.41914580862131
3247,14612,10418,9211,0,42.13497763170089,-83.40273271559937
2469,13922,9835,5989,0,42.13497763170089,-83.38631962257743
2312,13350,9830,65528,0,42.13497763170089,-83.3699065295555
1805,13387,10005,65528,0,42.13497763170089,-83.35349343653354
1656,13505,10050,65528,0,42.13497763170089,-83.3370803435116
1852,12572,9908,7311,0,42.11856453867895,-83.56686364581878
1690,13434,9841,6178,0,42.11856453867895,-83.55045055279685
1636,13849,10270,65528,0,42.11856453867895,-83.53403745977491
2162,12572,9570,65528,0,42.11856453867895,-83.51762436675297
